,btc_usd,eth_usd,bch_usd,etc_usd,xrp_usd,xmr_usd,str_usd,ltc_usd,dash_usd,neos_usd
1/1/2018,13798.89592,768.2527024,2404.970105,30.27712346,1.999873986,342.0406846,0.454535632,230.7568666,1037.31627,14.06452467
1/2/2018,14329.81717,868.8504899,2586.480985,32.35672716,2.099748109,363.7472192,0.536938249,252.9103823,1123.580186,13.76507907
1/3/2018,15215.61689,912.0776354,2642.802019,32.27947476,2.599588146,381.6587961,0.77325765,252.1183593,1139.888742,12.55942665
1/4/2018,15102.18688,969.4252328,2450.802972,35.24246329,3.006845407,378.9934572,0.79845262,239.5850192,1145.030894,13.18753162
1/5/2018,16282.98053,1010.74322,2451.379759,34.25255218,2.693042149,365.3948051,0.66906767,249.6320948,1143.563166,12.70805215
1/6/2018,17005.16637,1008.850541,2538.641089,33.49133506,2.705862073,377.9864167,0.698062079,288.2802529,1156.365087,13.91855862
1/7/2018,16769.98044,1091.378421,2659.423747,35.75125051,2.760506481,412.0935927,0.717922863,282.5808784,1217.188994,14.42469868
1/8/2018,15480.10258,1150.466518,2456.897546,35.07559044,2.466444744,397.5050401,0.652176722,261.0257993,1121.833436,15.79434866
1/9/2018,15160.40252,1246.64187,2449.526118,35.93030557,2.268602633,431.915926,0.619454047,256.3442141,1127.768396,15.71284758
1/10/2018,14615.82683,1347.318341,2681.664259,38.03228147,1.959543903,408.0901087,0.543708758,248.8591526,1102.049128,14.66508217
1/11/2018,14104.94038,1243.980139,2639.819567,34.77446106,1.9753969,382.2609512,0.549669527,240.1669356,1057.263452,14.0290558
1/12/2018,14176.43069,1263.325674,2633.006192,35.29562654,2.090881762,385.0132863,0.670686936,241.7553507,1068.407833,13.84569456
1/13/2018,14873.22133,1420.189023,2787.65322,41.24329402,2.110956304,432.0745163,0.700974921,258.3282219,1145.064175,15.9885642
1/14/2018,13956.68271,1363.751012,2625.86332,44.44798699,1.894340544,409.876229,0.627492455,251.0408058,1050.291176,15.14690861
1/15/2018,14190.25471,1351.090478,2518.30023,42.85783298,1.823305828,429.3281429,0.643386149,244.200519,1015.749217,13.35487441
1/16/2018,12290.79279,1122.357219,2016.211394,33.53051182,1.30614255,357.2514349,0.471351904,203.3873017,830.7075223,9.604762937
1/17/2018,10979.93289,972.4608139,1723.091408,27.98356675,1.151136164,301.5648449,0.409880895,178.1498503,753.547304,7.935526894
1/18/2018,11894.54958,1075.687397,1879.559001,31.62974834,1.561397523,339.195324,0.525382255,200.0898751,868.7354376,9.959901089
1/19/2018,11954.47671,1087.122659,1872.706195,33.08616611,1.65282595,353.3096579,0.527192423,201.7087224,874.3388309,10.12854994
1/20/2018,12906.69946,1152.865115,2000.91542,34.99677371,1.611917695,398.9196214,0.538854702,211.5304787,944.5762834,10.28379999
1/21/2018,12303.19113,1117.146364,1890.18785,32.93847238,1.463956712,368.8337988,0.492988868,201.6449964,876.9997608,9.207339143
1/22/2018,11356.98404,1043.576001,1708.822357,30.56277975,1.314684473,331.6875331,0.486078917,187.9271949,805.0318638,8.088671173
1/23/2018,11071.87795,1010.489224,1646.469518,29.4244014,1.359183737,316.0972438,0.48981988,182.0930871,779.7026816,7.479274991
1/24/2018,11390.72102,1048.398431,1673.849368,29.91305856,1.388073263,323.0649964,0.561676453,182.2719257,789.9021928,8.787257823
1/25/2018,11688.56624,1099.587609,1709.881783,30.39599962,1.377497531,326.8593001,0.628611092,186.9254215,826.962438,9.031521362
1/26/2018,11306.34823,1068.889047,1634.400701,28.91395046,1.248560035,323.7156743,0.623432042,180.1154413,798.892094,8.358217931
1/27/2018,11561.10929,1107.51924,1659.834589,29.85899258,1.238888472,331.5468333,0.639098122,184.0594498,787.2172042,8.311281471
1/28/2018,11991.4367,1227.128806,1747.762932,32.60579562,1.317379236,337.5337612,0.629430513,193.773343,809.6162387,9.086031504
1/29/2018,11537.38323,1205.636819,1708.898975,31.85806095,1.310415988,323.8435022,0.597059582,186.9980228,782.7599957,8.73356836
1/30/2018,10663.50809,1130.443078,1578.185974,29.0618984,1.189727597,292.8606667,0.516540332,173.9651108,733.6839062,7.870841954
1/31/2018,10138.41135,1098.03618,1481.84105,27.60638717,1.107418671,274.4765007,0.504892885,163.7910031,686.6534112,6.808044603
2/1/2018,9509.062765,1096.364793,1350.470247,26.03914202,1.012525003,254.5893705,0.469937882,150.7483131,642.7161259,5.689842796
2/2/2018,8689.838381,921.3073536,1158.486325,22.06228307,0.832225822,227.5445477,0.377921071,127.2199291,548.1350184,4.766376352
2/3/2018,9164.556444,965.28211,1230.559269,23.99867409,0.936067795,248.2393323,0.434583267,149.1092579,615.8646999,5.187872112
2/4/2018,8761.230685,896.0298112,1202.527186,22.46353264,0.884095788,237.7949577,0.414581436,157.0382263,596.5568408,4.793794982
2/5/2018,7663.0184,762.9631395,1004.121241,18.69830131,0.752048626,196.9191893,0.356790137,138.2236101,501.9973621,3.840091781
2/6/2018,7007.968004,692.3941066,889.5791244,16.85128978,0.68993445,179.0959106,0.319072783,127.1121355,456.7144607,3.277416396
2/7/2018,8128.749341,818.3081089,1003.384693,19.68165305,0.779140624,220.4686712,0.368557495,149.9058432,557.1103391,4.268406279
2/8/2018,8506.287769,835.2632739,1270.643238,21.06454572,0.777814954,244.7873145,0.35913547,150.7979384,596.6529703,4.599945237
2/9/2018,8484.012621,852.5403573,1317.360405,24.25019263,0.863927005,251.3479518,0.374993358,155.7033507,621.0072412,4.528256896
2/10/2018,8891.734683,890.8945525,1304.11587,25.17525733,1.073321294,261.7573753,0.414443754,164.2838678,654.0235421,4.708262432
2/11/2018,8412.81403,844.3679803,1270.407773,24.71718413,0.992375543,238.150865,0.374874993,153.7227237,604.6371889,4.306940142
2/12/2018,8901.166583,881.5724285,1300.164118,28.01695589,1.061553127,250.0246901,0.393342551,162.6692644,630.9124621,4.258051058
2/13/2018,8824.669145,864.3888738,1257.818128,32.27119734,1.023308634,240.8301628,0.409994128,161.9839501,613.5356518,4.138946322
2/14/2018,9258.468418,902.7592769,1328.40403,35.12635142,1.083425974,262.7627405,0.437462633,197.9973467,665.3507596,4.30491006
2/15/2018,10031.90055,945.1541056,1387.411645,34.50151172,1.135109547,285.3635305,0.456852751,230.1680137,700.1833204,4.380730331
2/16/2018,10260.78396,948.7742653,1509.733171,34.60295479,1.123966275,294.8615835,0.453834475,228.0504383,712.352156,4.349751536
2/17/2018,10895.97821,978.9981943,1569.249242,35.24413112,1.168375744,324.4530299,0.475609449,232.1806564,739.4005366,4.533053815
2/18/2018,10939.02502,956.2848637,1550.542038,34.18992271,1.133720553,311.5157569,0.4588921,226.7418135,720.2425818,4.385345741
2/19/2018,11112.91947,959.6123756,1536.149748,38.33334892,1.128183584,314.3641551,0.452962597,225.3045517,727.4401508,4.284697229
2/20/2018,11674.37486,941.6974538,1526.715788,40.95090514,1.10030983,317.0023558,0.428799788,243.125861,729.5999798,4.649553274
2/21/2018,11038.4415,881.2877552,1367.076982,36.43822656,1.010348551,310.6224063,0.394513899,221.5336837,699.896799,4.329387143
2/22/2018,10436.85187,843.6103189,1263.22113,33.37611295,0.940464722,294.883752,0.371030084,206.6370384,645.6302317,3.791499546
2/23/2018,10240.08666,862.0161269,1267.186865,35.4848699,0.949972839,282.9188486,0.367107107,204.691345,637.8778333,3.795283318
2/24/2018,10063.73436,853.3958176,1216.878077,37.20643102,0.929285231,278.5257236,0.355551735,208.5594219,611.3586788,3.896677944
2/25/2018,9728.065665,849.2446649,1191.214774,35.65044224,0.913465366,274.7636697,0.347097383,215.7464137,596.5434699,3.88733504
2/26/2018,10110.43014,866.061266,1228.631098,35.40308661,0.929249635,286.4008845,0.357605914,226.9608569,615.4451369,4.443129631
2/27/2018,10748.53489,892.3304685,1278.387853,36.3714298,0.950062999,303.496921,0.362655567,221.2123721,630.4125349,4.46526385
2/28/2018,10829.14593,888.1853244,1253.815843,34.92237127,0.925242229,299.3249574,0.347182419,216.5991624,606.594068,4.25866993
3/1/2018,10913.15403,882.5608445,1300.173418,33.82553918,0.932965538,305.4777337,0.337543854,213.633939,613.7886313,4.5648632
3/2/2018,11187.06668,876.8642131,1297.675347,32.22210816,0.914207089,336.2440697,0.32878789,211.3707871,615.3481826,4.720718398
3/3/2018,11561.41474,874.9589652,1305.472291,29.97273648,0.916126504,363.5951634,0.327650494,218.3437917,616.9565149,4.89787774
3/4/2018,11427.00864,870.151624,1273.96634,30.12707973,0.966953471,358.8690914,0.358579531,212.4700277,617.0765211,4.874647614
3/5/2018,11685.85295,873.1994194,1294.519175,28.7079338,1.028004484,372.5300343,0.381543099,215.3488848,623.6675449,4.799730384
3/6/2018,11164.53671,844.2946431,1238.39062,26.30900746,0.944631451,357.8002909,0.350119871,204.9151349,593.26104,4.306161809
3/7/2018,10376.19474,779.0952335,1141.994551,23.01263599,0.877929837,344.2336848,0.32716142,189.9001356,541.9066279,3.807129614
3/8/2018,9805.520745,745.0325853,1077.511711,23.42166296,0.850530869,305.9124401,0.319463866,184.2716214,511.1544423,3.539792989
3/9/2018,8989.260548,692.4864278,1000.483305,21.45763461,0.796538377,265.6207834,0.289274404,176.8722411,473.846127,3.169163806
3/10/2018,9350.700877,732.7162454,1061.288373,22.14797659,0.820804523,281.9070807,0.308760143,188.6214965,517.1178833,3.597869176
3/11/2018,9232.606553,714.8992829,1092.718501,21.12392681,0.806560508,269.2638922,0.295351084,186.4685541,511.8885754,3.454841372
3/12/2018,9518.739514,720.7196436,1092.442032,21.0456475,0.80975917,269.2532531,0.297555797,186.5545394,524.7782945,3.40171194
3/13/2018,9264.690283,702.9612473,1056.155051,20.3635113,0.785460442,254.4714877,0.288317162,178.1649971,497.7412237,3.234118084
3/14/2018,8710.730377,653.4154917,1004.57613,18.33051258,0.733007961,230.7707667,0.267158101,169.0844229,455.7475039,3.107988599
3/15/2018,8209.77609,608.180459,929.6239796,17.94353291,0.679194776,213.7269071,0.234553303,162.6582412,417.3176141,2.706434786
3/16/2018,8428.051442,615.7843693,988.4746582,18.21276632,0.703236612,213.538421,0.236659684,166.8920218,424.3925076,2.745016355
3/17/2018,8211.017154,590.5246941,994.6383607,17.31736362,0.662629084,206.0211534,0.218084616,160.7034002,410.5543063,2.554283216
3/18/2018,7837.11814,512.287334,912.8913458,15.81992831,0.604163437,190.5929137,0.189658259,148.6772629,374.8183256,2.346433171
3/19/2018,8602.63261,555.8571275,979.0098723,18.0587324,0.68631803,217.4955428,0.23485187,160.6697348,397.7790218,2.531496698
3/20/2018,8881.490795,559.1906505,1044.919027,20.19020421,0.713094896,223.4428546,0.2609382,167.7010197,430.0862806,2.69686468
3/21/2018,9196.952009,581.9742021,1068.762342,20.76009583,0.704486524,229.5847086,0.265975852,174.9289702,445.3870488,2.8170264
3/22/2018,9043.35112,559.806314,1050.530107,20.10391214,0.675538329,219.1988035,0.248511289,171.1434304,425.8378392,2.890435885
3/23/2018,8727.840494,535.1417795,1012.679637,19.00714191,0.641408998,211.80156,0.236262642,164.6361354,416.930686,2.69594265
3/24/2018,9031.02106,547.4978851,1031.800388,19.21710971,0.66468315,217.328361,0.244830981,168.0393058,452.5658688,2.766833922
3/25/2018,8737.006069,535.2614061,1000.954838,18.60702708,0.649683771,212.478658,0.242801399,163.7556079,425.1247171,2.628266166
3/26/2018,8407.229574,506.881119,954.674547,17.08080018,0.618267663,202.7747267,0.237588308,153.8786999,401.9242561,2.514686438
3/27/2018,8203.723779,475.8088419,927.0373585,16.62706124,0.595098123,194.9238405,0.22305925,145.4850836,379.9566153,2.413535536
3/28/2018,8181.249879,465.4079072,900.9721694,16.66340613,0.592731554,200.5918115,0.225393434,138.7864775,367.086628,2.394897277
3/29/2018,7611.764636,417.5235585,777.4416629,15.56255727,0.543860583,188.5378535,0.202472939,122.9456791,337.5845019,2.144614686
3/30/2018,7124.212107,397.1648511,731.8229337,14.92664921,0.509808618,175.6413227,0.191570064,120.9212469,328.8659557,2.074143113
3/31/2018,7260.101543,418.4721803,731.1096496,14.98376057,0.525631352,183.1637224,0.211994965,124.321761,331.9701759,2.03340924
4/1/2018,6964.732276,389.5420033,670.538863,14.11145301,0.494495992,178.0714889,0.208245495,117.2786393,297.9814041,2.000897936
4/2/2018,7232.273171,396.8217385,690.17431,14.42961446,0.503727826,182.8845167,0.234108683,122.7543851,316.5558012,2.16302826
4/3/2018,7611.827123,417.440059,721.1897158,15.37984894,0.545235177,191.3404775,0.240381501,132.5120148,344.1814751,2.342539797
4/4/2018,7384.849896,402.6190624,697.1786441,14.70249766,0.533481556,185.2978474,0.228930347,128.6255492,331.1332723,2.183183175
4/5/2018,7077.089404,395.5536718,666.1696103,14.12955054,0.508842728,178.9930375,0.204598655,124.0210378,312.606787,2.266862507
4/6/2018,6855.998445,382.7110888,637.2983071,13.67079234,0.48698157,173.1898566,0.199852355,118.2172956,297.5305187,2.156211511
4/7/2018,7136.843926,397.091284,658.1596041,14.00648442,0.504503497,174.8683059,0.20896679,121.7399982,313.3843122,2.107153169
4/8/2018,7232.274301,408.9025191,669.6106029,14.45934136,0.509079788,175.6974004,0.21067615,120.7491115,318.3895214,2.16599383
4/9/2018,7107.276813,418.9030375,671.7158388,14.24760246,0.507530637,175.6403551,0.207248192,120.5352925,317.9419671,2.159119623
4/10/2018,6969.535559,413.2081515,659.3550721,13.88791473,0.498949051,168.4884524,0.205949776,116.8990442,303.2947425,2.199864204
4/11/2018,7077.610718,432.4941061,672.1666351,14.31878502,0.528909849,169.8882074,0.212186769,118.0891563,311.5366773,2.361657144
4/12/2018,7742.79401,472.2342455,727.9866293,15.5318125,0.594569152,188.0066527,0.233290384,125.6468866,343.8640633,3.029523012
4/13/2018,8151.522822,515.6955759,767.5987436,16.65470234,0.668750932,197.2292738,0.263620248,131.5655784,376.6689902,2.958676724
4/14/2018,8112.138548,506.6687606,749.3321094,16.21081095,0.652297061,194.0956508,0.255937971,128.45109,364.8400241,2.837463821
4/15/2018,8324.48498,502.7281346,768.7324737,16.67852188,0.68144234,200.1222838,0.289775322,131.5649056,376.9078729,2.845392211
4/16/2018,8161.122898,516.946172,772.5860018,16.25907871,0.667987909,195.9425216,0.287271526,129.3451472,367.3347532,2.77771979
4/17/2018,8071.300103,513.3421121,773.3263562,16.4051596,0.670402187,198.2329869,0.303480884,135.2891952,371.8837801,2.769585917
4/18/2018,8129.84251,517.8883657,855.888438,17.09811568,0.693394268,223.9219595,0.33966482,138.5484509,395.1914818,2.957799302
4/19/2018,8252.43835,546.3640693,938.9746491,18.0038496,0.740573818,233.267136,0.364510202,144.4892198,422.888446,3.078654651
4/20/2018,8533.122091,591.6790913,1074.117836,19.06495737,0.873877033,251.8110676,0.381003901,151.3635062,445.8438535,3.234053272
4/21/2018,8855.90092,606.7565608,1120.524125,19.01441631,0.873014713,256.7782641,0.373896137,150.259665,447.4915074,3.319900137
4/22/2018,8948.577149,628.2087289,1207.024712,19.00471969,0.886177595,272.4448899,0.374766411,150.5121146,473.7716789,3.198042502
4/23/2018,8936.597873,642.1906256,1375.046969,20.20144759,0.872211952,280.6830789,0.371405008,150.9736333,498.9732443,3.384468346
4/24/2018,9351.723123,693.83735,1503.731735,21.83730218,0.923295624,291.3464812,0.393333475,162.3767741,530.7836982,3.556647338
4/25/2018,9239.169346,643.013757,1315.988662,19.76618651,0.835498084,267.2493484,0.354784103,151.9514443,483.2306384,3.542759486
4/26/2018,8922.990049,624.9133989,1340.064461,19.78146587,0.809136738,264.343491,0.375033272,146.8163798,472.0695393,3.368428744
4/27/2018,9231.783835,659.7528475,1392.117275,21.05068277,0.83963074,260.3937258,0.413768551,150.4458576,493.059512,3.677665726
4/28/2018,9278.043582,678.2028113,1389.409572,21.61385199,0.850611036,257.0116419,0.419831472,150.8866888,491.856646,4.135502366
4/29/2018,9397.033799,687.0982374,1438.367691,21.548996,0.869507537,252.967774,0.454910406,152.9014862,494.7252625,3.981805131
4/30/2018,9306.681583,683.2139185,1393.291946,22.17493714,0.844581354,246.6426972,0.432760694,150.9333422,483.4278503,3.856502715
